"schoolId","name","oldName","principal","region","province","city","congDist","brgy","street","telNo1","telNo2","fax","cellNo1","cellNo2","website"
"100015","Saint Nicholas Academy of Vintar, Inc.",,"Manayon Tunac Macugay ","10000000","12800000","12823000","1","Brgy. 2 San Nicolas","J.P. Rizal St.","77 6705218","77 0"," "," "," ",
"100016","Vintar Academy Inc.","Vintar Academy","NOEL AMANDO T. DALERE -","10000000","12800000","12823000","1","# 2","Gomez Street","77 6704808","0 0"," NONE","0921 5608225"," ","NONE"
"100017","Governor Roque B. Ablan Sr. Memorial Academy","Ablan Memorial academy","Josefina  Balisacan Agustin _","10000000","12800000","12822000","0","Juan",,"0 0","0 0"," ","0916 2501115","0918 3556719",
"100018","Badoc Junior College","-","Salome Yago Rin ","10000000","12800000","12803000","2","Canaan","Juan Luna St.","0 0","0 0","- ","0998 3333885","-091 7590003","-"
"100019","Banna Academy","Banna Academy","Janice Matumadi Cacao ","10000000","12800000","12811000","2","Valenciano","San Agustin","0 0","0 0","None None","0998 9754386","0936 7865455","None"
"100020","Batac Institute",,"Ellen Guiruela Lucas ","10000000","12800000","12805000","2","Valdez","Castillo St.","77 6771338","77 0"," ","0907 2953994"," ",
"100021","Batac Junior College","Batac Business High School and Vocational Institute","Melitona Castro Asuncion ","10000000","12800000","12805000","2","#1-S Valdez","San Marcelino St.","77 7923140","77 7923051"," "," "," ",
"100022","Eureka High School",,"Editha T. Lipaen -","10000000","12800000","12805000","2","Caunayan","Eureka Ave.","77 7923755","0 0"," "," "," ",
"100023","IGAMA Colleges Foundation, Inc.","-","Lorenzo Agarano Estavillo  Jr.,","10000000","12800000","12803000","2","#2 Garreta ","0","0 0","0 0"," ","0925 8465321","0 0",
"100024","Immaculate Conception Academy",,"Imelda Doctolero Madamba ","10000000","12800000","12805000","2","#1-S Valdez",,"77 7923114","77 6171320","077 6171320","0908 2500554"," ",
"100025","Juan Luna Memorial Academy",,"Demetria D Mercado ","10000000","12800000","12803000","2","Alogoog","cor. Parson and Osmena Sts.","77 6700178","0 0"," ","915 6207014","920 9481277",
"100026","Paoay North Institute",,"Carmelita Blanco Bagayas -","10000000","12800000","12816000","2","#11 Cabang-aran","Evangelista ","0 0","0 0","- -","0928 8169379"," ",
"100027","Pinili Institute",,"ANUNCIACION DULDULAO PAGDILAO ","10000000","12800000","12819000","2","Valbuena","Valbuena","77 7941118","0 0","- -","0946 3228017","0920 5642012","-"
"100028","Saint Joseph Institute",,"Fe  Bueno Albano ","10000000","12800000","12809000","2","Madamba","National Road","77 7840344","0 0"," "," "," ",
"100029","Santa Rosa Academy","Sta. Rosa Academy of San Nicolas Ilocos Norte Inc.","MA. NIEVES TORRES OCTAVIO ","10000000","12800000","12820000","2","Brgy. 3, San Ildefonso","National Road","677 1768","0 0","0 0","0936 9394705","0932 6688307","0"
"100030","Benito Soliven Academy",,"Marivic Fagela Realin ","10000000","12900000","12928000","1","Nalasin","Bumatay","77 7264020","0 0","N/A ","0997 3054851","0917 6191694","-"
"100031","Cabugao Institute, Inc.",,"Maria S Rondon ","10000000","12900000","12905000","1","Bonifacio",,"77 6040028","77 0","77 6040028"," "," ",
"100032","Divine Word College of Vigan","Collegio de la Immaculada Concepcion","Antonio C. Prado ","10000000","12900000","12934000","1","Brgy. II","Burgos","77 7222034","0 0","722 1821"," "," ",
"100033","Immaculate Conception Minor Seminary",,"Segundino Abaya Cortez ","10000000","12900000","12934000","1","Ayusan Sur",,"0 0","0 0"," ","0917 5781790"," ",
"100034","Saint Paul College of Ilocos Sur","Rosary College","Myrna Bidaure Castante SPC","10000000","12900000","12903000","1",,"St. Paul Avenue","77 7228052","77 7228101","077 6742457"," "," ","//http.www.spcis.edu.ph.com"
"100035","Saint William's Institute",,"GLORIA LABUGUEN DE LA CRUZ SPC","10000000","12900000","12912000","1","San Ramon","Maharlika Hiway","77 6040653","77 0","077 6040653","0905 4052626"," ",
"100036","San Juan Institute","Lapog Educational Institute","Fay Mercado Pascua ","10000000","12900000","12920000","1","Lira","Aguinaldo St.","0 0","0 0"," "," ","0906 2403735",
"100037","Santa Catalina High School Inc.","Benito Soliven Institute, Inc.","Catherine M Ines ","10000000","12900000","12923000","1","Poblacion","Burgos","0 0","0 0"," ","916 5353338"," ",
"100038","The Magsingal Institute of Secondary Education Incorporated","n/a","Franklyn Costales Viloria ","10000000","12900000","12912000","1","San Lucas","Maharlika Highway","0 0","0 0","n/a n/a","0916 3119099","0927 9316991","n/a"
"100039","Concepcion Adventist Academy","Concepcion Adventist Junior Academy","MARLINDA ACERES GARBIN ","10000000","12900000","12910000","2","Concepcion","N/A","0 0","0 0"," ","0916 7848923","0916 2647689",
"100040","Holy Name High School","-","Ruth Cabu Dato ","10000000","12900000","12904000","2","Luna","-","0 0","0 0"," ","916 7545818","927 7968846","-"
"100041","Makil Technical School",,"Julie Anne Botacion Makil ","10000000","12900000","12909000","2","Poblacion",,"0 0","0 0","0 0","0917 7770570"," ",
"100042","Narvacan Catholic School",,"Cecilia Lanestosa Achas RSC","10000000","12900000","12914000","2","Sta. Lucia",,"0 0","0 0"," ","0917 8769849","0917 8245854",
"100043","Our Lady of Guadalupe Academy (Sevilla), Inc.","Sevilla Parochial Barangay School","Paulita Gumnad Almazan -","10000000","12900000","12924000","2","Sevilla","-","0 0","0 0"," ","0917 8007050","0916 2591682","-"
"100044","Pascual Rivera Pimentel Memorial Academy",,"Arsenio Halabaso Hezeta Jr.","10000000","12900000","12924000","2","Poblacion Sur","Real St.","77 6747075","77 0"," ","0918 5205871","0922 8078990",
"100045","Saint Agnes School Inc.","-","Margarita Busiag Angupa SIHM","10000000","12900000","12908000","2","Concepcion","-","0 0","0 0"," ","928 7640157"," ",
"100046","Saint Augustine's School",,"Consuelo  Gacutan ICM","10000000","12900000","12933000","2","Rizal","-","77 6521745","0 0","77 6521745","0917 5810365"," ",
"100047","Saint Joseph's Institute, Inc.",,"NELA  A. RAMIREZ SPC","10000000","12900000","12906000","2","San Juan",,"77 7426012","0 0"," "," "," ",
"100048","Saint Mary's College","Saint Mary's Jr. College","LEONIDA DIAZ SISON ","10000000","12900000","12926000","2","Pob. Sur",,"77 7325629","0 0","077 7325629","0906 7849107","0917 3101805","-"
"100049","San Esteban Academy","Edwin Lee Memorial Academy","Solomon Vergara Benitez ","10000000","12900000","12918000","2","San Rafael",,"0 0","0 0"," ","919 4559442"," ",
"100050","San Jose High School",,"Flaviana R Rabanal ","10000000","12900000","12924000","2","San Jose",,"0 0","0 0"," ","921 9856244"," ",
"100051","Santa Cruz Institute","Northern Philippines Vocational Institutes","Lilibeth Catao Cimafranca OSS","10000000","12900000","12924000","2","Poblacion Sur",,"0 0","0 0"," ","0995 2827514","0919 6298017","sci10_oss@yahoo.com"
"100052","Santa High School Inc.","Santa High School Foundation, Inc.","Cecilia Buenio Adviento ","10000000","12900000","12922000","0","Quirino District",,"77 6040274","0 0"," "," "," ",
"100053","Santa Lucia Academy",,"Saul Pythias Foronda Crisologo ","10000000","12900000","12925000","2","Barangobong",,"77 6440393","0 0"," ","0917 9782504","0910 2363658",
"100054","Santa Lucia Catholic School","Sta. Lucia Catholic School","Pura Calacasan Camandono RSC","10000000","12900000","12925000","2","Burgos",,"0 0","0 0","- -","0916 5253519"," ","slcs58@yahoo.com"
"100055","Santiago Catholic School",,"Maria P. Gagto ","10000000","12900000","12927000","2","Poblacion Norte","-","0 0","0 0","- -","905 8236688","917 7494132",
"100056","Santiago Institute",,"SUSAN FARRALES ALICANTE ","10000000","12900000","12927000","2","Poblacion Norte","Calip","0 0","0 0"," ","906 2969718"," ",
"100057","Tirad View Academy",,"Avelino Cadalig Gadiano Jr.","10000000","12900000","12915000","2","Cayus",,"0 0","0 0"," ","0921 2941015","0921 4157816",
"100058","Beehive Learning Center, Inc.",,"   ","10000000","13300000","13314000","1",,,"0 0","0 0"," "," "," ",
"100059","BHC Educational Institution, Inc.",,"Loreta I Cepriaso ","10000000","13300000","13314000","1","Sevilla Center",,"72 7000638","72 6076512"," ","0920 9180290"," ",
"100060","Central Ilocandia College of Science and Technology","none","PHOEBE BALONG PAGULAYAN ","10000000","13300000","13314000","1","Lingsat","-","72 2422698","0 0","072 6071118","0998 5342 38","- -","cicosatcolleges.com.ph"
"100061","Christ the King College-San Fernando City, La Union Inc.","Christ the King College","Rosabel Rizalinda Nerida Aspiras ","10000000","13300000","13314000","1","Sevilla Norte","Quezon Ave.","72 2424935","72 0","72 6070776","0921 2898829"," ",
"100062","Diocesan Seminary of the Heart of Jesus",,"Victor Francis Petrasanta Julaton ","10000000","13300000","13314000","1","San Vicente","Purok 5, California Street","72 6075828","0 0"," ","0949 3431590","0906 2522011","-"
"100063","Gifted Learning Centre",,"Jeff Marlon Cheng Zamoranos ","10000000","13300000","13314000","1","Catbangen","Gov. Nisce Street","72 7003888","72 6070260","072 7003888","0918 2165920","0917 3160332",
"100064","La Union Cultural Institute","La Union Chinese High School","RAMIL M. TORRES ","10000000","13300000","13314000","1","Barangay 1","Gov. Lucero","72 8882387","72 8882387","72 7002646"," "," ",
"100065","Lorma Colleges Special Science High School",,"Elizabeth Ramos Camara ","10000000","13300000","13316000","1","Urbiztondo","National Highway","72 7200304","72 720","072 7200304"," "," ","www.lorma.edu"
"100066","MBC Lily of the Valley School, Inc.",,"Ma. Teresa Perez Regacho ","10000000","13300000","13314000","1","San Agustin","Pennsylvania Ave.","72 6075737","72 0"," ","0928 9602633"," ",
"100067","Osias Educational Foundation","Osias Colleges","Felipe  Nisco Toledo ","10000000","13300000","13305000","1","Dr. Camilo Osias","Dr. Camilo Osias","72 6070142","0 0"," ","0908 4778947","0919 2903842","-"
"100068","Saint Christopher Academy",,"Caridad Quiocho Ramil -","10000000","13300000","13306000","1","Central East ",,"72 6074160","0 0"," ","0998 8859707"," ",
"100069","Saint Louis College High School","Father Burgos College","Danilo Dacanay Romero -","10000000","13300000","13314000","1","Carlatan",,"72 2425535","72 7000828","72 8883955","0917 5033062","0927 5800789","http://www.slc-sflu.edu.ph"
"100070","Saint Louis College High School (Special Science)","Father Burgos College","Danilo Dacanay Romero -","10000000","13300000","13314000","0","Lingsat",,"72 2425535","0 0","72 8883955","0917 5033062","0927 5800789","http://www.slc-sflu.edu.ph"
"100071","San Gabriel Academy, Inc.",,"Feliciana Ke-eg Jacalne ","10000000","13300000","13315000","1","Poblacion",,"72 6820082","0 0"," ","0949 7567644","0930 7795445",
"100072","San Nicolas Academy",,"Maria Regina D Butic RVM","10000000","13300000","13305000","1","Dr. Camilo Osias",,"72 6074923","0 0"," "," "," ",
"100073","Santa Catalina Academy","Sta. Catalina Academy, Luna, La Union, Inc.","Caridad Quiocho Ramil ","10000000","13300000","13310000","1","Victoria","Teachers' Lane","72 6073139","0 0","- -","+639 8859707","- -","-"
"100074","Santa Veronica College, Inc.","-","Rosalinda L. Tuazon -","10000000","13300000","13303000","1","Baroro","National Highway","72 6070906","0 0"," ","0917 6734128","0919 5531603","-"
"100075","Stella Maris Academy",,"Elnora Gaerlan Bucasas -","10000000","13300000","13303000","0","Quirino","-","72 6820437","0 0"," "," "," ",
"100076","Union Christian College",,"Grace Hope Pe Bautista ","10000000","13300000","13314000","1","Barangay II","Widdoes St.","72 2424529","0 0","72 8883340","0920 218022","0947 1678587","www.ucc.edu.ph"
"100077","Agoo Academy",,"Evelyn T. Lopico ","10000000","13300000","13301000","2","San Antonio","-","72 6820627","72 6875964"," ","0998 7923141"," ",
"100078","Agoo Kiddie Special School","-","Berting B. Geneta -","10000000","13300000","13301000","2","San Antonio","-","72 7101085","72 7100861"," ","0920 8633344","0920 9517924",
"100079","Agoo Montessori Learning Center","-","Mardy Galvan Abacco -","10000000","13300000","13301000","2","San Antonio","Aspiras Road","0 0","72 7100290","072 7100290","+63 7713239","+63 7713239","-"
"100080","Aringay School of Science Arts, Technology and Trade",,"Michelle Mapile Panis ","10000000","13300000","13302000","2","San Eugenio","Raisaville Subd.","0 0","0 0"," ","0917 6980838","0946 8322579",
"100081","Congress College",,"Dominador P Rivera ","10000000","13300000","13301000","2","San Nicolas Sur",,"72 7101373","72 0"," "," "," ",
"100082","Holy Infant Ni&#241;o Montessori and High School of Naguilian, Inc",,"Leova Espinueva Rimando ","10000000","13300000","13311000","2","Natividad","Madayag","72 6091241","0 0"," "," "," ",
"100083","La Union Colleges of Science and Technology, Inc.","-","SHEILA FONTANOS TABIAN ","10000000","13300000","13307000","2","Central West","Pescadores Street","72 6077286","72 6030758"," "," "," ",
"100084","La Union Standard Academy",,"Grace Dictaan Runas ","10000000","13300000","13309000","2","Gana","National Highway","72 0","72 0"," ","917 5641870","917 8107274",
"100085","Notre Dame Institute",,"Agnes C. Pimentel ","10000000","13300000","13302000","2","Poblacion",,"72 607","0 0"," ","0927 816-526","0929 321-431",
"100086","Pugo Catholic School",,"Regina Laroya Alicna ","10000000","13300000","13312000","2","Tavora East","-","0 0","0 0"," ","0929 8309336"," ",
"100087","Sacred Heart School",,"Marlene Dumaguin Bac-ingan ","10000000","13300000","13307000","2","Central East","Nera St.","72 6073412","0 0","072 6073412","0925 5122665"," ",
"100088","Saint Mary of the Sea Academy","-","Elizabeth  Fernandez Diso  ","10000000","13300000","13317000","2","Poblacion","-","0 6030265","0 0"," ","0999 7008334","0912 4009086",
"100089","Saint Mary's Academy","-","Ma. Florifes Cal Bejod TDM","10000000","13300000","13301000","2","Consolacion","Doña Toribia Street","72 6074230","72 6030522"," ","0999 7008334"," ",
"100090","Saint Mary's Academy",,"Tirso Dacoco Laconsay ","10000000","13300000","13313000","2","Poblacion East","Arboleda Street","72 6870127","0 0"," ","0930 1956653","0915 5489543",
"100091","San Alberto Magno Academy of Tubao, La Union, Inc.","Tubao Catholic School","Brenda Otero Ochoco -","10000000","13300000","13320000","2","Poblacion","Baltazar St.","72 6870117","0 0","- -","- -","- -","-"
"100092","Union Institute of Rosario",,"Janet Lao-aguey Padua -","10000000","13300000","13313000","2","Poblacion  East",,"72 6870011","72 6820003","72 6870011"," "," ",
"100093","Union Schools (L.U.) Phils., Inc.","Union Institute of Naguilian","Janet Lao - aguey Padua -","10000000","13300000","13311000","2","Baraoas","-","0 0","0 0","- -","0947 1903259","0949 4944149","-"
"100094","Asbury College Inc.",,"Ligaya Caniedo Cacho ","10000000","15500000","15505000","1","Poblacion","Luna ","0 0","0 0"," ","0909 3433270","0919 8160837",
"100095","Cape Bolinao High School Inc.",,"Sheryl Ostia Caaya ","10000000","15500000","15514000","1","Concordia","National Road","75 5544364","0 0"," ","0918 2257883"," ",
"100096","Dasol Catholic School","Dasol Academy","Eufemia B. Villegas SFIC","10000000","15500000","15519000","1","Poblacion","Artacho St.","0 0","0 0","- ","915 6093986"," ",
"100097","Don Marcelo Jimenez Memorial Polytechnic Institute, Inc.","DON MARCELO JIMENEZ MEMORIAL HIGH SCHOOL","Ray Jimenez Benaza ","10000000","15500000","15519000","1","Poblacion","M.A. Jimenez Ave.","0 0","0 0","n/a n/a","0917 6819030","0939 6417411","n/a"
"100098","The Great Plebeian College",,"Ellen P. De Ocampo ","10000000","15500000","15503000","1","Poblacion","Don P. Reinoso St.","75 5513727","75 5527250","075 6540194","0918 6238153","0907 5303676","-"
"100099","Riverview High School","N/A","Martin Anthony Ulbida Almanza ","10000000","15500000","15523000","1","Poblacion","Juan De G. Rodriguez Avenue","0 0","0 0","0 0","0998 5506149","0 0",
"100100","Saint John's Institute",,"Efren Chiong Millora ","10000000","15500000","15520000","1","Poblacion","San Roque St.","0 0","0 0"," ","0999 9990201","0998 9510658",
"100101","Colegio San Jose de Alaminos, Inc.","St. Joseph Cathedral School","Rosita Abarra Mendoza ","10000000","15500000","15503000","1","Poblacion",,"75 636","0 0","075 636-0975","0918 4513247"," ",
"100102","Saint Nicholas Catholic School of Anda","Anda Institute","Aida Rubianes Sabordo SSA","10000000","15500000","15505000","1","Poblacion","Luna St.","0 0","0 0","- -","0917 424 606","0925 325 836","-"
"100103","Western Pangasinan Lyceum","-","Helaria Cano Orlino -","10000000","15500000","15508000","1","Poblacion","Rizal Street","0 0","0 0","- -","0917 7306895","- -","-"
"100104","Aguilar Catholic School","Aguilar Catholic School, INC.","Luisita Fabiana Tongson sjc","10000000","15500000","15502000","2","Poblacion","San Jose St.","75 5297289","0 0"," ","0915 7488432"," ",
"100105","Binmaley Catholic School, Inc.","Binmaley Catholic High School","Leo Reyes Macaraeg ","10000000","15500000","15513000","2","Poblacion","-","75 5400145","0 0","75 5400145"," ","- -","http://www.binmaleycatholicschool.tk"
"100106","Mangatarem Catholic School","Mangatarem Institute","Rita Fernandez Austria -","10000000","15500000","15527000","2","Poblacion","Mabini St.","75 6321930","0 0","0 0","0946 1409139","0932 3583896","-mcs.mangatarem@yahoo.com"
"100107","Mystical Rose College of Science and Technology","Mystical Rose Montessori School","Antonia Beltran Valmonte Ph. D.","10000000","15500000","15527000","2","Pogonlomboy","-","75 6323435","0 0","075 6323435","0920 9644762","0949 9962696",
"100108","Pangasinan Memorial College",,"   ","10000000","15500000","15522000","2",,,"0 0","0 0"," "," "," ",
"100109","Saint Andrew Catholic School",,"Mary Eileen Grace Suela Suacillo SPC","10000000","15500000","15515000","2","Poblacion","N. Espino St.","75 6320702","0 0"," "," "," ",
"100110","Saint Columban&#39;s Institute",,"Marlina Manaoat Munda ","10000000","15500000","15522000","2","Domalandan","Narra Street","75 6321139","0 0","075 6321139","0922 8903953","0920 8812547","-"
"100111","Saint Columban's School","St. Columban's High School","Imelda Magayaga Segarra ","10000000","15500000","15521000","2","Poblacion",,"75 0","75 0"," ","0946 4202359"," ",
"100112","The Adelphi College","The Adelphi college","Leonardo Victorio Escaño -","10000000","15500000","15522000","2","Poblacion","New St. East","75 6323661","0 0"," ","0932 3659895","- -","-"
"100113","Urbiztondo (Private) High School","N/A","EVANGELINE RUFO DE GUZMAN ","10000000","15500000","15545000","2","Poblacion","M.H. del Pilar","75 6321406","0 0","N/A N/A","0920 6362808","0977 1269014","N/A"
"100114","Urbiztondo Catholic School","-","Roger Fabia Soriano -","10000000","15500000","15545000","2","Poblacion","San Pio St.","75 6322237","0 0"," ","0942 0764061","0933 2024279",
"100115","Zaratan Educational Institute, Inc.","Zaratan Educational Institute, Inc. ","Lolita Orpilla Ocampo -","10000000","15500000","15502000","2","Pogomboa","Romulo Highway","0 0","0 0"," ","0928 4810113","0919 5352821","http://zarataneducational.wix.com/zei-inc"
"100116","Baylon Institute of Technology","BAYLON BUSINESS SCHOOL","Sofia Hermogeno Baylon OP","10000000","15500000","15532000","3",,"PNR Site","0 0","0 0"," ","918 7161076"," ",
"100117","Malasiqui Agno Valley College, Inc.","Agno Valley College ","Virginia Nevado Ico -","10000000","15500000","15524000","3","Poblacion","Bonifacio St.","75 6334827","0 0"," ","+63 9325187"," ",
"100118","Malasiqui Catholic School",,"Nelson Moyano Quenano ","10000000","15500000","15524000","3","Poblacion","Bonifacio St.","75 6322390","0 0","075 6322390","0928 9691795"," ",
"100119","Mapandan Academy",,"Mario Acosta Tomboc ","10000000","15500000","15528000","3","Poblacion","Firetree St.","75 6330288","0 0"," "," "," ",
"100120","Marianne College of Science and Technology Inc.","Marianne School of Bayambang","Antonia Beltran Valmonte Ph. D.","10000000","15500000","15511000","3","Zone V","-","75 5910545","75 5925170","75 5463297","0922 8854171","0929 3026590",
"100121","Palaris Colleges, Inc.","Palaris Junior College","Urduja Baun Braganza ","10000000","15500000","15532000","3","Perez","Perez Blvd.","75 5323847","75 6341810","75 5323847","0916 4841860"," ",
"100122","Perpetual Help College of Pangasinan",,"Rosario Pinlac Ferrer ","10000000","15500000","15524000","3","Poblacion","Montemayor St.","75 5364955","75 6351164"," "," "," ",
"100123","Saint Charles Academy",,"Norma E Espino ","10000000","15500000","15532000","3",,"Malong St.","75 632","75 6322618"," "," 0932167"," 0915956","none"
"100124","Saint Therese College Foundation Inc.","Saint Therese of the Child Jesus Educational Foundation ","Armand Flor Magleo ","10000000","15500000","15532000","3","Palaris","Palaris St.","75 9555370","75 9555539","75 9555400","0919 5561235"," ",
"100125","Saint Vincent's Catholic School of Bayambang, Inc.","ST. Vincent's Academy","Edgardo Bulilan Salinas ","10000000","15500000","15511000","3",,"Quezon Blvd.","75 5922588","0 0"," "," "," ","www.cbcpworld.com/svcs"
"100126","San Carlos College","PIEAS","Alicia A. Peralta ","10000000","15500000","15532000","3",,"Mabini St.","75 6341094","75 9555190","75 6341094","919 8048673"," ",
"100127","Virgen Milagrosa Special Science High School",,"Ria Sison Caguioa ","10000000","15500000","15532000","3",,"Martin P. Posadas Avenue","75 5323642","75 6324094","75 9555222","0948 3861245"," ","www.vmuf.edu.ph"
"100128","VMUF-Saint Dominic High School",,"Jijie Garzon Daguia ","10000000","15500000","15532000","3",,"Martin Posadas Ave.,","75 5322380","75 0"," ","0939 5958133","0906 2740591",
"100129","VMUF-San Luis High School",,"Lea Licuanan Mondares ","10000000","15500000","15532000","3","Talang","Purok 5","75 5325268","75 0"," ","0917 4055294","0910 7964514",
"100130","Archdiocesan School of San Fabian",,"Leonardo Alimbuyao Carrera ","10000000","15500000","15533000","4","Poblacion","National Highway","75 5114766","0 0"," ","0912 0570139"," ","http://assf1969.wordpress.com"
"100131","Saint Michael School By-The-Sea, Inc.","College of St. Michael the Archangel","Raymond Stephen Espinas Bulosan ","10000000","15500000","15518000","4","Bonuan Gueset","03 Alimango St., Blue Beach Subdivision","75 6530087","0 0","75 6530087","0923 7303485","0906 2519898","                 -"
"100132","Escuela de Nuestra Se&#241;ora de la Salette",,"Marianne  Tan Lor MAED","10000000","15500000","15518000","4","Tapuac District","La Salette Street","75 5223279","75 5239118","75 5223279","0918 9339699","0925 7212561","www.lasalette.edu.ph"
"100133","Family Child Development School","Family Child Development Center","MIRIAM  L. NAJERA ","10000000","15500000","15525000","4","Poblacion","Galaban St.","75 5194546","75 5695598"," ","0908 8616854"," ",
"100134","Francisco Q. Duque Medical Foundation Special Science High School",,"Ma. Grace Ocampo Mencio, MAEd. ","10000000","15500000","15518000","4","Tapuac District",,"75 5153816","75 0"," "," "," ",
"100135","Joyland School","Joyland School, Inc.","Rebecca Kathleen Sudiacal Vidal ","10000000","15500000","15533000","4","Poblacion","Sison","75 6531110","0 0"," ","0917 5639818"," ",
"100136","Lyceum-Northwestern University General High School",,"Ma. Grace Ocampo Mencio, MAEd. ","10000000","15500000","15518000","4","Poblacion Oeste","A.B. Fernandez West","75 5152426","75 0"," "," "," ",
"100137","Metro Dagupan Colleges Productivity High School","Metro Dagupan Colleges Special Science High School","Maria Krisia Fae Delos Reyes De Asis ","10000000","15500000","15526000","4","Poblacion","Serafica","75 5226367","0 0","075 5226367"," "," ",
"100138","Colegio de San Juan de Letran-Manaoag, Inc.","Holy Rosary Academy","Cristina L. Arceo, OP","10000000","15500000","15525000","4","Poblacion","Castro St.","75 5290121","75 5291941","75 5290121"," "," ",
"100139","Saint Albert the Great School, Inc.",,"Adelaida De Guzman Carvajal ","10000000","15500000","15518000","4","Malued",,"75 6537247","75 5601258"," ","0922 8927795"," ",
"100140","Saint John's Cathedral School ",,"Juan Primitivo P. Petrola ","10000000","15500000","15518000","4","Barangay IV","Zamora St.","75 5228259","75 5158655","075 5158655"," "," ",
"100141","San Jacinto Catholic School","San Jacinto Academy","Nicasio Agsaoay Villamil Jr.","10000000","15500000","15534000","4","-","-","75 6530720","0 0","075 653-0720","0910 6305902","0947 8700588","-"
"100142","Santo Tomas Catholic School","Santo Tomas High School","Arnulfo Sarilan Tanguilig ","10000000","15500000","15526000","4","Poblacion","Rizal St.","75 5225358","0 0","075 5225358","915 8816670"," ",
"100143","University of Luzon","Luzon Colleges","Petrona M Agcaoili -","10000000","15500000","15518000","4","Pogo-Chico","Perez Blvd.","75 5157707","75 5158177","75 5155767","0935 9269853","0916 7772505","www.ul.edu.ph"
"100144","University of Pangasinan",,"Peter John Martin Gener ","10000000","15500000","15518000","4","Arellano","Arellano","75 5225635","0 0","075 5222496","0925 8831833"," ","www.up.phinma.edu.ph"
"100145","College of Saint Michael the Archangel",,"Violeta R Pascua ","10000000","15500000","15512000","5","Sta. Maria Norte","Mc Arthur Hiway","75 5626552","75 0"," "," "," ",
"100146","Holy Child Academy",,"Jose Lito Garna Tacason ","10000000","15500000","15512000","5","Poblacion","October 16th","75 6323049","75 5135044"," "," "," ",
"100147","Holy Rood Academy",,"EMETERIA BITANGHOL FERNANDEZ WCW","10000000","15500000","15504000","5","Poblaction East","Arboleda St.","0 6360853","0 0"," ","0928 9145339","0930 9359530",
"100148","International Christian School of Excellence Inc.",,"Dahlia P. Viduya ","10000000","15500000","15546000","5","Poblacion","Calle Garcia","75 5687660","75 6322662","075 5687660","0917 6406017","0916 5904653","www.ice.edu.ph"
