"schoolId","shortName","name","email","oldName","principal","region","province","city","street","telNo","cellNo","fax","website"
"405091","HRAC","Holy Rosary Academy of Camiguin","hracamiguin@gmail.com",NULL,"Sr. Paulina C. Aboniawan, SNDS","10","1018","101805","Poblacion, Sagay, Camiguin","387-6045","09756415357","n/a","n/a"
"405092",,"Laubach Institute","laubachinstitute@yahoo.com",NULL,"Linda P. Bernales","10","1035","103501","PUROK 1","(063)227-2057",,"(063)227-2057",
"405094","MA","Momungan Academy (Jamiatul Phil. Al-Islamia)","momungan_academy@yahoo.com",NULL,"CAMAR C. MAMBUAY","10","1035","103502","Pacalundo","c/o (063) 221-5532","09262518834/ 09155663491","c/o (063) 221-6151",
"405095","LSSTI","Lanao School of Science and Technology, Inc.","lssti_2008@yahoo.com",NULL,"JULIETA CUEVAS TABANAO","10","1035","103509","P-5 Abaga","63-3887199","09213746722","063-3887199",
"405096",,"SANTO NIÑO ACADEMY","sna_baroy@ymail.com",NULL,"ESTRELLA C. TYMICO","10","1035","103503","Cabili Street","0","09217764776","0","www.baroysantoninoacademy.webs"
"405099",,"St. Francis Xavier Academy","saintfrancisxavieracademy@gmail.com",NULL,"MS. ROSITA A. CORTES","10","1035","103505","POBLACION","063-227-9107","09061102867/09161713326","none",
"405101","SVA","St. Vincent's Academy","svacademyschool@yahoo.com",NULL,"Evelyn L. Yee","10","1035","103507","Mohammad","227-1007","09151382388",,"svapeace.webs.com"
"405105","LCHS","Lanipao Catholic High School, Inc.","lanipaocatholichighschool@yahoo.com",NULL,"ANN V. MARQUEZ","10","1035","103509","Lanipao",,"09757701913",,
"405110",,"St. Joseph's Community High School of Sapad, Inc.","sjchs.sapad1968@gmail.com",NULL,"JONNIE A. PATORIO","10","1035","103519","P2","92-4586686","09359004698","N/A",
"405114",,"St. Mathews High School","smhs_educmarch1951@yahoo.com",NULL,"Elmy Y. Bahin","10","1042","104201","Benito Apepe St.,","(088)-545-2420","09999918819",,
"405116","F.I","Farmers' Institute-UCCP, Inc.","farmersinstitute80@gmail.com",NULL,"MRS. IRENE SUZON VILLANUEVA","10","1042","104203","Icamen Road, D.Fernan",,"09392814792",,
"405123","JBI","JIMENEZ BETHEL INSTITUTE","jimenezbethelinstitute2015@gmail.com",NULL,"LEILANEEH V. SABACAHAN","10","1042","104207","Bonifacio St.,","088-5451525","09989843568",,
"405134",,"Panaon Community High School","paulita.galleros@yahoo.com",NULL,"Paulita R. Galleros","10","1042","104211","Poblacion",,"09199562416",,
"405136","SPHS","St. Patrick's High School",,NULL,"Teresita B. Coca","10","1042","104212","Purok 1 Pag-asa",,"09462118811",,
"405157",,"Holy Child High School","holychildhighschool@yahoo.com.ph",NULL,"Elvira A. Bucag","10","1043","104312","Rizal St., Poblacion, Kinoguitan, Misamis Oriental",,"09068368374",,
"405162","SRPHS","San Roque Parish High School","srphs_linugos@yahoo.com",NULL,"Asiang M. Chiang Jr.","10","1043","104317","Magsaysay, Misamis Oriental",,"09176507976/09175086248",,
"405312","MCSHS","Medina College Science High Shool","mcbasiceducation@gmail.com",NULL,"DR.JOCELYN TERESA V. RUBIN","10","1042","104210","MANINGCOL, OZAMIZ CITY","088-586-1025/ 521-5797","09488686229","088-521-1466",
"405313","MIT, Inc.","Misamis Institute of Technology, Inc.","mit_ths@yahoo.com",NULL,"Merylou H. Atillo, MAED","10","1042","104210","Bañadero Highway","088-545-9066","09168616531","088-545-9066",
"459524","NONE","Divine Mercy School of Bukidnon, Inc.","dmsb.shs@gmail.com",NULL,"ENGR. HERNANE C. MIAGUE","10","1013","101318","San Fernando","NONE","09326604044","NONE","NONE"
"459537","lsvfai","Lumintao Saint Vincent Ferrer Academy","lumintaolsvfa@gmail.com",NULL,"AMELITA B. SILVANO","10","1013","101301","Lumintao, Quezon",,"09061732802",,
"459538","N/A","Sumilao Bukidnon Tribal Academy","rvenz_1480@yahoo.com",NULL,"Leo A. Salvana","10","1013","101319","Zone 1",,"09068021408",,
"459545","PWCDES","Philippine Wide Continuing Distance Education System, Inc.","pwcdes.registrar@gmail.com",NULL,"ELISEO P. ROM","10","1013","101309","Sayre Highway, Poblacion","none","09179172147","none",
"462047","WA","Westshire Academy",,NULL,"Gleven Michael Manauag","10","1043","104305","Zone 1A, Iponan",,"09158683944",,
"462505","n/a","Mt. Sioan Academy","julietyco@gmail.com",NULL,"Freddie C. Oloresisimo","10","1043","104308","Sioan","n/a","09491356514 / 09059701802","n/a","n/a"
"463507","LSU - NHS","La Salle University Night High School","macristina.llauder@lsu.edu.ph",NULL,"MS. MARIA CRISTINA M. LLAUDER","10","1042","104210","Ledesma St., Brgy. Aguada, Ozamiz City","(088) 521 - 0342","09154135889/09778022229","(088) 521 - 1010",
"477503","MIT","Mahardika Institute of Technology High School","mitechnology2005@yahoo.com",NULL,"Sambas I. Hassan","15","1570","157002","Ilmoh Street, Lamion, Bongao, Tawi-Tawi","068-268-1259","09209458951","068-268-1259",
"600152","CMULHS","Central Mindanao University Lab. HS","cmulhs@cmu.edu.ph",NULL,"Denis A. Tan","10","1013","101315","Sayre Highway",,"09177103100",,
"900680","NMSCST","Northwestern Mindanao State College of Science and Technology","marjohndauyo@gmail.com",NULL,"Mar John Dauyo","10","1042","104215","Labuyo","(088) 586-0173","09488130550","-","nmsc.edu.ph"
"402404","SPLS","Saint Paul Learning School of alaminos,laguna inc.","stpaul@yahoo.com",NULL,"iMELDA C. MATIENZO","4","434","43401","Alaminos Heights Subd. Alaminos, Laguna",,"09214154839 /09273291295",,
"402432",,"Holy Spirit School","holyspiritschl@yahoo.com",NULL,"Sr. Scolastica Segatori","4","434","43403","Mo. Giuseppina Arcucci St","049-839-2847 / 049-512-7168","09192800925/09154147325","n/a","n/a"
"402461","AHS","Angels in Heaven School","heidi_maneclang@yahoo.com",NULL,"Heidi R. Maneclang, DBA","4","434","43404","Brgy. Sala, Cabuyao, Laguna","5303240",,"5311530","www.angelsinheaven.edu.ph"
"402484",,"Maranatha Christian Academy of Cabuyao Inc.","maranatha_christian_cabuyao@yahoo.com",NULL,"Mrs. Rowena G. Marbida","4","434","43404","#515 National Highway Brgy. Sala, Cabuyao, Laguna","(049) 531-2419/ (049) 576-2186","09294112499",,
"402488","OLAC","Our Lady of Assumption College of Laguna INC.","olaccabuyaophase2@yahoo.com",NULL,"Francis Edward T. Ringor","4","434","43404","Phase2, Mabuhay City, Mamatid, Cabuyao, Laguna","09215855292 /09228082525","09215855292 /09228082525",,"olaccabuyaophase2@yahoo.com"
"402493","RAM","Ridpath Academy of Mabuhay","desijane_balatinsayo@yahoo.com",NULL,"Reynaldo G. Traballo","4","434","43404","B161 L1-23 P2 Mabuhay City Mamatid Cabuyao, Laguna",,"09194414494",,
"402516",,"Liceo de Liliw","liceoliliw@yahoo.com",NULL,"Sr. Marites A. Salmone, USS","4","434","43410","Poblacion , Liliw, Laguna","0495632983","09054835718","049-5633749",
"402538",,"Saint Anthony School of Los Baños Inc","arnel.palmes@yahoo.com",NULL,"Arnel M. Palmes","4","434","43411","Jardin Leonila Subd., Maahas, Los baños, Laguna","536-0132","0921-571-37-24","536-0132",
"402540",,"TRACE College","magcalayo_marlaanniemarquez@yahoo.com",NULL,"ERWIN F. GENUINO","4","434","43411","El Danda St., Batong Malake, Los Banos, Laguna","(049) 536-39-44","09394089299","(049) 536-39-44","www.tracecollege.edu.ph"
"402547","LSBSHS","Little Shepherd Business and Science High School","lsim_1986@yahoo.com",NULL,"JOSE RENE M. GADAZA","4","434","43413","National Road, Brgy. Lewin","808-4014","09399285325","808-4014","lsim1986@facebook.com"
"402552",,"Blessed James Cusmano Academy","elsie_principe@yahoo.com",NULL,"ELSIE M. PRINCIPE","4","434","43414","BRGY. SAN ANTONIO MABITAC, LAGUNA","049-557-0660","09189649420",,
"402557","EAFi","Elyon Academia Foundation","elyonacademia.1993@yahoo.com",NULL,"Celedonian  D. Amante","4","434","43417","Brgy. Alibumbungan, Nagcarlan  , Laguna",,"09164814506",,
"402562",,"Rizal Standard Academy","rizalstandardacademy@ymail.com",NULL,"Florenda M. Dorado","4","434","43417","Rizal Ave, Brgy II, Nagcarlan, Laguna","530-7204","09173640934",,
"402595","CBBA","Christian Bible Baptist Academy, Inc.","cbba.spl@gmail.com",NULL,"Edmundo M. Laurena","4","434","43425","B2 L6-8 St. Francis Homes 2, Landayan, City of San Pedro, Laguna","847-0445",,,
"402606",,"IETI College of Science and Technology, Inc.","ietisanpedrolaguna@yahoo.com",NULL,"Dr. Cesar S. Ochoa","4","434","43425","#162 Magsaysay Ave., Magsaysay San Pedro, Laguna","808-08-30 / 869-77-75",,"869-7775",
"402613","JRAACS","Jesus, the Rock of All Ages Christian School","rgrlovjesus@yahoo.com",NULL,"Ramon G. Redima","4","434","43425","Gov. FT San Luis st. Brgy. Laram San Pedro City","(02) 478-4191",,"(02) 868-6853",
"402614","JAMA","Joseph and Mary Academy","melai_0605@yahoo.com.ph",NULL,"Mrs. Editha P. Marfori","4","434","43425","Rainbow Ave., Pacita Complex II, San Pedro, Laguna","02- 847-4809","09295554235","02- 847-4809","none"
"402619",,"Mater Ecclesiae School","materecclesiae@yahoo.com",NULL,"Sr. Emma T. Badajos, DVMI","4","434","43425","Villa Olympia Subd.","(02) 869-3075",,"(02) 868-2693",
"402622","OLAC","Our Lady of Assumption College of Laguna Inc.","olacsanpedro@yahoo.com.ph",NULL,"Maximo C. Acierto Jr.","4","434","43425","Main Road Villa Olympia Subdivision","(02) 6680163","09228779590 ; 09228966060",,"wwww.ourladyofassumptioncollege.com"
"402633","SGES","San Geronimo Emiliani School","creativemiddleschool@yahoo.com",NULL,"Rosario M. Mangahas","4","434","43425","Our Lady of De Guia St., Rosario Complex, San Pedro Laguna","5561159",,"5561093",
"402644","VRA, Inc.","Vian Rechel Academy","talagtag_h @yahoo.com / rechell_david@yahoo.com",NULL,"Roselia  S. Dimaranan","4","434","43425","Magsaysay Ave., Magsaysay 2, San Pedro, Laguna","(02) 918-9489","0921-275-3771 / 027-231-4553","(02) 918-9489",
"404538","AIT","Advance Institute of Technology, Inc.of Lapu-Lapu City","ait_96@yahoo.com",NULL,"Golda Y. Tan","7","722","72226","Sangi New Road","3405534",,,
"404558","SDLC","Saint Dominic  Savio School of Lapu-Lapu City, Inc.","vitasdlc@yahoo.com",NULL,"Jovita B. Augusto","7","722","72226","Sangi New Rd.","03-2683845",,,
"406080",,"Notre Dame of Bungao","srdianaond",NULL,"Sr. Diana Fe T. Gillesania, OND","15","1570","157002","Ilmoh St.","068-268-1266","0949-848-3069","n/a","n/a"
"406324",,"The National Teachers College",,NULL,"Fidel Soriano","13","1339","133905","629 J. Nepomuceno St., Quiapo, Manila","7345601 local 111",,"7341885","www.ntc.edu.ph/"
"406367",,"Philippine Christian University",,NULL,"Dr. Kathleen Rose L. Guimbatan","13","1339","133910","771 Miguel Malvar, Malate, Manila",,,,
"424531","PVMIS","Palm Valley Multiple Intelligence School","ramos.fernan@yahoo.com",NULL,"Edna G.Ramos","4","434","43401","Denmark St. Alaminos Heights, Alaminos, Laguna","049-521 3223","09175075711,",,
"424569","UVCA","Upper Villages Christian Academy, Inc.","nol_car@yahoo.com",NULL,"Carina Dela Cruz,","4","434","43425","25 Brgy. Riverside, San Pedro, Laguna","02-5198991/ 02-5530259","09175449767","5198991",
"424575","OLAC","Our Lady of Assumption College of Laguna INC.","olaccabuyaophase6@yahoo.com.ph",NULL,"Francis Edward T. Ringor","4","434","43404","Phase6, Mabuhay City, Mamatid, Cabuyao, Laguna","09234737193/09124749735","09124749735/09095454600",,"www.ourladyofassumptioncollege.com"
"448511",,"Regent Pacific College","regent_mactan@hotmail.com",NULL,"Catherine A. Juariza, M. Ed.","7","722","72226","Agus","4952057/4952326",,"4952343",
"448521","NSAS","(New) Saint Andrew School","newstandrew@gmail.com",NULL,"Romeo Arañez","7","722","72226","255 R dela Serna St., Poblacion","340-6310","09362609951",,"http://www.facebook.com/new.st.andrew"
"459533","AOS","The Abba's Orchard School","aos.lagranja@yahoo.com ; aos.lagranja@gmail.com ; dong_alw@yahoo.com",NULL,"Christopher N. Barrameda","10","1013","101301","La Granja Estates, Pualas","(088)855 8800 ;(088)324-0554","(0922) 8877414","(088) 855 - 8800","http://theabbasorchard.com/"
"462045","KofZ","King of Zion School","kofz_racaza@yahoo.com",NULL,"Engr. Yolanda P. Racaza","10","1043","104305","Zone 5, Tin-ao Agusan","880-3021","09177909125",,
"464504","DDNACI","Davao del Norte Agricultural College, Inc.","ddnaci_alterado@yahoo.com.ph",NULL,"Carlito G. Edullantes, Ph.D.","11","1123","112314","Prk. 16, Mesaoy, New Corella, Davao del Norte",,"09195194318",,
"483528","Golden Link College","Golden Link College Foundation, Inc.","goldenlink2002@gmail.com",NULL,"Rekha L. Nahar","13","1375","137501","6312 Doña Aurora & Waling-Waling St.","961-58-36","0943-829-16-93","961-58-36 - local 113","www.theosophy.ph/goldenlinkcollege.html"
"406360",,"Colegio de San Juan de Letran","registrar.edu",NULL,"Rev. Fr. Clarence  Victor C. Marquez, O.P.","13","1339","133910","151 Muralla St., Intramuros","52776-93 to 97 loc 331, 332 or",,"3010720","www. letran.edu"
"406312","SCC","Sta. Catalina College","sccmanila@gmail.com",NULL,"Sr.  Daisy L. Fornan, OP","13","1339","133905","Legarda Street","(02) 734-68-61",,"(02) 734-68-17","www.sta.catalinacollege.edu.ph"
"600024","DHVTSU","DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY","anitagsibug@yahoo.com",NULL,"ENRIQUE G. BAKING","3","354","35404","CABAMBANGAN, BACOLOR","045 458 0021","09275841719/09155240047",,"dhvtsu.edu.ph"
"403443","MCHS","Mansalay Catholic High School, Inc.","mchs_angel@yahoo.com",NULL,"Jielene P. Fetil","17","1752","175207","Poblacion","09185612307","09185612307","n/a","n/a"
"442570","CSJ","Colegio De San Jose","csj.jaro@yahoo.com",NULL,"SR. ANA FRANCISCA C. CAPIT, D.C.","6","630","63022","E. Lopez Street","(033) 329-4151 / 329-1595",,"(033) 329-6629","http://cj.cphilippine.org"
"406104","DWCB","Divine Word College-Bangued","dwcb@yahoo.com",NULL,"Teresa V. Dacanay","14","1401","140101","Rizal","074-752-8575","09176145004","074-752-8003","n/a"
"405986","FSUU","Father Saturnino Urios University Archbishop Morelos Campus (Basic Ed)","fsuubasiceducation@gmail.com",NULL,"Rev. Fr. John Christian U. Young","16","1602","160202","San Francisco St., Butuan City","3421830 loc. 3515","09072657724","-","www.urios.edu.ph"
"600067","WVSU - ILS","West Visayas State University - Integrated Laboratory School","ils@wvsu.edu.ph",NULL,"EMELLIE G. PALOMO, Ph. D.","6","630","63022","Luna Street, La Paz, Iloilo City","3200870 - 79 local 1802",,"320-77-93","wvsu.edu.ph"
"405906","CITCI","Candelaria Institute of  Technology of Cabadbaran, Inc.","candelariainstitute@yahoo.com",NULL,"Rev. Msgr. Porfirio C. Colon, Jr.","16","1602","160203","Funcion St.","(085) 343-0941","09481271100","(085) 343-0941",
"404742","SMAG","St. Mary’s Academy of Guiuan, Inc.","smafervm@yahoo.com.ph",NULL,"S. Ma. Felicisima L. Cruz, RVM","8","826","82609","San Jose Street","None","09205724243 / 09268439652","None","None"
"404535","SPUD","St. Paul University Dumaguete","spudhsoffice@gmail.com",NULL,"SR. JOSELINE R. LASALA, SPC","18","1846","184610","North Road","035 225 1506","0926-679-0061","035 225 7217",
"406696",,"Manila Central University","mcuregistrar@yahoo.com",NULL,"Ms. Reneliza C. Sta. Ana","13","1375","137501","General Simon","(02) 364-10-71 to 78",,"(02) 364-10-70","www.mcu.edu.ph"
"443503","FCU","Filamer Christian University","filamer.christian@yahoo.com",NULL,"Dr. George O. Cortel","6","619","61914","Roxas Avenue, Roxas City","6210471","09474281306","6213075","http://www.filamer.edu.ph"
"600136","WMSU","Western Mindanao State University","reyyy01@yahoo.com",NULL,"ELSA SAAVEDRA","9","973","97332","Normal Road","991-4254","0917-722-2954","062-992-4238",
"600019","NEUST","Nueva Ecija University of Science and Technology","neustlabhigh@gmail.com",NULL,"Dr. Feliciana P. Jacoba","3","349","34903","Quezon Dist.Gen. Tinio St., Cabanatuan City","463-0226","09328804636/ 09175511572","463-0226","neust.edu.ph"
"600085","ZCSPC","Zamboanga City State Polytechnic College","zcspc.zcspc.com",NULL,"Dr.  Jocelyn I. Kong","9","973","97332","RT. Lim Boulevard","991-3815","09168763535","(062) 9913815","zcspc.zcspc.com"
"400027","SPCIS","St. Paul College of Ilocos Sur (Bantay)","Spcilocossur@yahoo.com",NULL,"Sister Carolina Agravante, SPC","1","129","12903","St. Paul Avenue","077-722-8396","n/a","077-674-2457","www.spcis.edu.ph.com"
"405505","UIC","University of the Immaculate Conception","info@uic.edu.ph",NULL,"S. MA. MERLITA BAGAPORO SABATE, RVM","11","1124","112402","Bajada, Davao City","082) 222-0703","None","082 2222676","www.uic.edu.ph"
"442564",,"Central Philippine University","admin@cpu.edu.ph",NULL,"Teodoro C. Robles, Ph.D.","6","630","63022","Lopez Jaena St. Jaro, Iloilo City","3291971 to 79",,"3203685","www.cpu.edu.ph"
"600033","CvSU SHS","Cavite State University Science High School","cvsushs@ymail.com",NULL,"Prof. DULCE L. RAMOS","4","421","42110","Bancod Road","(046) 443 2282","09173413160",,"www.cvsu.edu.ph"
"400759","SMAH","St. Mary's Academy of Hagonoy","sma_hagonoy1906@yahoo.com",NULL,"S. Ma. Ceferina E. Bodiongan, RVM","3","314","31409","Poblacion Hagonoy, Bulacan","(o44) 793-01-69",,"(044) 793-39-73",
"401318","HFA","Holy Family Academy","hfaregistrar@yahoo.com.ph",NULL,"Sister M. Edna M. Quiambao, OSB","3","354","35401","Sto. Rosario Street","(045) 322 7597",,"(045) 888 3244",
"406230","EC, Inc.","Easter College, Incorporated","eastercollege@yahoo.com",NULL,"May L. Panisigan","14","1411","141102","Easter School Rd., Guisad, Baguio City","422-6764","none","424-6764","eastercollege.com"
"406007",,"Saint Paul University Surigao","ecel18_2003@yahoo.com",NULL,"Sr. Aileen Bonifacio, SPC","16","1667","166724","Km. 3","826-1332","09204151576","826-1332","www.spusurigao.edu.ph"
"600061","SSC","Sorsogon State College","ssc@sorsogonstatecollege.edu.ph",NULL,"Helen R. Lara","5","562","56216","Magsaysay St., Cogon","056-2110200","09194557555","056-2110200","sorsogonstatecollege.edu.ph"
"400562","SPUP","St. Paul University Philippines","cmendoza@spup.edu.ph",NULL,"Sr. Carmelita S. Villanueva, spc","2","215","21529","Mabini Street","(078)396 1987 to 1994",,"0788464305","www.spup.edu.ph"
"406329","SRC-M","St. Rita College, Manila","saintritacollegemanila@gmail.com/src_manila@yahoo.com",NULL,"Mo. Maxima Y. Pelaez, A.R.","13","1339","133905","Plaza del Carmen, Quiapo, Manila","736-39-88","0905-913-4410","736-39-88","www.srcm.augustinianrecollect.org.ph"
"405414",,"St. Mary's College Baganga, Inc.","smc_homebaganga@yahoo.com",NULL,"Sr. Ma. Jocelyn G. Gerarde,  RVM","11","1125","112501","Immaculate Concepcion St.",,"09195055883",,
"401131","SMA - Guagua","St. Mary's Academy","smagpamp@yahoo.com",NULL,"S. Ma. Andrea L. Yee, RVM","3","354","35407","San Roque, Guagua, Pampanga","(045) 900-03-62",,"(045) 900-03-62",
"400056","SAS","St. Augustine School, Inc.","sas_tagudin @ yahoo.com.",NULL,"SR. NIDA BUYUCCAN, ICM","1","129","12933","RIZAL DISTRICT","(077) 652-1745","09175654007/09465271863","(077) 652-1745",
"400097",,"Pugo Catholic School","pugocatholicschool1910@yahoo.com.ph",NULL,"Regina L.Alicna","1","133","13312","-",,"09298309336",,
"400119","UCC","Union Christian College","ucc_bes@yahoo.com",NULL,"Dr.  Grace Hope P. Bautista","1","133","13314","Widdoes Street, Barangay II","(072) 242-4529","+63998-9830132","(072) 888-3340","www.ucc.edu.ph"
"404781","LMA","La Milagrosa Academy","adelfas@yahoo.com",NULL,"Sr. Maria Adela M. Pabon, FAS","8","860","86003","J.D. Avelino St.","(055) 209-1345","09174843437","N/A","N/A"
"600050","WPU","WESTERN PHILIPPINES UNIVERSITY","wpu.edu@gmail.com",NULL,"DR. ELSA P. MANARPAAC","17","1753","175301","BGY. SAN JUAN","0484334480/0484334367","09193836791/09128228968","0484334367","www.wpu.edu.ph"
"481536","SLSC","St. Louis School, Inc. (Center)","slsc_hsd@yahoo.com",NULL,"Sr. Celeste Ma. Purisima L. Pe, ICM","14","1411","141102","Quirino Highway","(074) 442-34-03","n/a","(074) 446-0173","n/a"
"406129",,"Holy Ghost School","na",NULL,"Mrs. Celia Flor B. Taeza","14","1401","140124","Isidro Flores St.","074-752-5880","09062555953","na","www.holyghostschool.com.ph"
"403850","SAA","St. Agnes Academy","stagnesacademy@yahoo.com",NULL,"Sr. Reginalda A. Cortez, OSB","5","505","50506","Brgy. 17 Rizal St., Legazpi City","4801682","not applicable (n/a)","052 - 4813322","www.saa.edu.ph"
"403906","st.1","St. Louise de Marillac School of Tabaco","slmst2003@yahoo.com",NULL,"SR. BEATA MARIA D. BABASA, DC","5","505","50517","Ziga Avenue","052 4875365",,"052 4874382",
"404925",,"Ateneo De Zamboanga","Sheila_ann98@yahoo.com",NULL,"Fr. Stephen T.  Abuan, SJ- JHS, Rey S. Reyes-SHS","9","973","97332","Tumaga-JHS, La Purisima-SHS","955-1001 loc 3111",,"(062) 9851584",
"406206","SMSS","St. Mary's School of Sagada Incorporated","smssi.registrar@gmail.com",NULL,"Racquel D. Killy","14","1444","144409","Poblacion","0","+63 928 7880077","0",
"406357","PCS","Paco Catholic School","www.dinaabariso@yahoo.com",NULL,"FR. MAXELL LOWELL C. ARANILLA, PhD","13","1339","133911","1521 PAZ ST., PACO, MANILA","564-48-68/563-72-36/561-35-89",,"564-48-68/563-72-36","www.pacocatholicschool.edu.ph"
"406632",,"St. Mary's College","concepcion_vergara@yahoo.com",NULL,"Sister Maria Gilda M. Peñafiel, RVM","13","1374","137404","37 Mo. Ignacia Avenue, Q.C","3736846 to 50","09179441063","3743073/3743076","registrar1@smcqc.net"
"404177",,"Hua Siong College of Iloilo, Inc.","Warren_Uy23@yahoo.com",NULL,"Dr. Warren K. Uy","6","630","63022","Iznart Street, Iloilo City","(033) 337-36-79",,"(033) 335-01-45",
"400690","SMCB","St. Mary's College of Baliuag","smcb_office_registrar@yahoo.com",NULL,"Ma. Clara R. Sepacio","3","314","31403","Racelis St.","(044) 766-2265",,"(044) 766-2265",
"600001","ISPSC","ILOCOS SUR POLYTECHNIC STATE COLLEGE","ispsc_2705@yahoo.com",NULL,"Francisco D. Lopez","1","129","12926","Poblacion Norte, Sta. Maria, Ilocos Sur","077- 732 -5512","0998-861-9328","732-55-12","ispsc,edu.ph"
"482043","CHSM","College of the Holy Spirit of Manila","chsmhsprin@yahoo.com",NULL,"Dr. Jesusa M. Marco","13","1339","133905","163 E. Mendiola St., Manila","7356021 LOC. 301","0","7355511",
"400865",,"Colegio de San Pascual Baylon","cspb.spi_registrar@yahoo.com/cspbobando@yahoo.com",NULL,"Rev. Fr. Virgilio C. Ramos","3","314","31414","J.P. Rizal","(02)292-45-34","09159088881","(02)294-46-08",
"404791",,"St. Peter's College of Ormoc","spc_registrar2005@yahoo.com.ph",NULL,"Sister M. Julia C. Yap, OSB","8","837","83738","Fr. Ismael Cataag","(053)255-4391",,"(053)255-3406",
"404948",,"Pilar College","pilarcollegezc@gmail.com",NULL,"Elnora R. Perez","9","973","97332","R.T. Lim Boulevard","(062) 9915410",,"(062)9911098","www.pczc.edu.ph"
"406339","The University of Manila","University of Manila","umregistrar@yahoo.com",NULL,"NIEVES G. GOMEZ","13","1339","133906","546 M.V. DELOS SANTOS STREET, SAMPALOC","7355094, 7355085, 7355098, 735",,"7355094","www.univman.edu.ph"
"400125",,"San Alberto Magno Academy","sama_1915@yahoo.com",NULL,"Brenda O. Ochoco","1","133","13320","Baltazar St.","(072) -687-0117","09294452468",,
"406016",,"Saint John's School","sjs_dchs@yahoo.com",NULL,"JOCELYN C. RIVAS","16","1667","166702","DEL ROSARIO STREET","NONE","09071109164","NONE","NONE"
"600053","RSU-Laboratory Science High School","Romblon State University-Laboratory Science High School","0",NULL,"Arnel F. Dela Austria","17","1759","175909","Brgy Liwanag","567-5400","0","0","0"
